date,foreignbuy,foreignsell,foreigntotal,proprietarybuy,proprietarysell,proprietarytotal,supply,demand,exchanged,rsi52
2023-05-19,0.16,2.4,-2.24,,,,,,,
2023-05-18,23.35,3.56,19.79,31.71,0.31,31.4,48633330,54373261,27097400,83
2023-05-17,15.08,26.22,-11.14,24.29,0.04,24.25,39014931,45358341,22648300,84
2023-05-16,13.36,19.87,-6.51,17.26,0.14,17.12,35088922,33683634,19670500,86
2023-05-15,1.83,38.37,-36.54,0,7.2,-7.2,35101860,41594544,20945401,88
2023-05-12,27.97,8.39,19.58,0.25,1.49,-1.24,52059352,45191449,27507700,89
2023-05-11,72.92,8.65,64.26,4.18,3.42,0.76,0,0,19935500,83
2023-05-10,43.07,11.19,31.88,0.48,1.14,-0.65,37529086,42309146,19035600,84
2023-05-09,9.89,24.07,-14.18,0.91,1.28,-0.37,27361137,32775515,13393400,82
2023-05-08,116.75,22.8,93.95,2.34,6.08,-3.73,50682209,51510367,28566301,78
2023-05-05,3.65,30.54,-26.89,1.27,3.72,-2.45,16349468,21348691,9527300,74
2023-05-04,10.71,28.33,-17.62,0.69,0.67,0.02,28985458,31390916,16515900,77
2023-04-28,78.94,103.54,-24.6,0.12,1.04,-0.93,32429196,32021977,16660000,76
2023-04-27,19.14,41.37,-22.24,0.23,2.08,-1.85,20121643,23310933,9135901,72
2023-04-26,148.25,164.75,-16.5,2.16,2.08,0.08,39511741,30946922,23017673,75
2023-04-25,56.6,45.12,11.48,6.52,7.61,-1.09,32307172,39389883,18812800,73
2023-04-24,5.22,33.48,-28.26,4.97,15.03,-10.07,19675429,24775902,10163100,71
2023-04-21,20.82,84.61,-63.79,0.31,7.09,-6.78,58177577,59884593,30761000,71
2023-04-20,4.96,11.54,-6.58,9.86,1.27,8.59,21971878,22136733,11058400,66
2023-04-19,45.86,23.91,21.95,1.2,1.75,-0.56,22145135,31661719,13629400,74
2023-04-18,,,,7.16,8.23,-1.07,,,,
