,Date,supply,demand,exchanged,RSI(52M)
0,18/05/2023,48633330,54373261,27097400,83
1,17/05/2023,39014931,45358341,22648300,84
2,16/05/2023,35088922,33683634,19670500,86
3,15/05/2023,35101860,41594544,20945401,88
4,12/5/2023,52059352,45191449,27507700,89
5,11/5/2023,0,0,19935500,83
6,10/5/2023,37529086,42309146,19035600,84
7,9/5/2023,27361137,32775515,13393400,82
8,8/5/2023,50682209,51510367,28566301,78
9,5/5/2023,16349468,21348691,9527300,74
10,4/5/2023,28985458,31390916,16515900,77
11,28/04/2023,32429196,32021977,16660000,76
12,27/04/2023,20121643,23310933,9135901,72
13,26/04/2023,39511741,30946922,23017673,75
14,25/04/2023,32307172,39389883,18812800,73
15,24/04/2023,19675429,24775902,10163100,71
16,21/04/2023,58177577,59884593,30761000,71
17,20/04/2023,21971878,22136733,11058400,66
18,19/04/2023,22145135,31661719,13629400,74
